Time,Temperature (°F),Temperature (°C),Dew Point (°F),Dew Point (°C),Humidity (%),Wind Speed (miles per hour)
0,70,21.1,55,12.8,60,3
1,66,18.9,55,12.8,68,6
2,64,17.8,54,12.2,68,5
3,63,17.2,54,12.2,72,6
4,63,17.2,52,11.1,68,5
5,61,16.1,52,11.1,72,3
6,66,18.9,57,13.9,73,6
7,77,25.0,54,12.2,44,5
8,82,27.8,52,11.1,35,3
9,90,32.2,52,11.1,27,7
10,93,33.9,52,11.1,24,5
11,97,36.1,54,12.2,23,8
12,99,37.2,50,10.0,19,9
13,99,37.2,52,11.1,21,8
14,99,37.2,55,12.8,24,7
15,95,35.0,57,13.9,28,7
16,95,35.0,57,13.9,28,9
17,91,32.8,55,12.8,29,7
18,91,32.8,55,12.8,29,7
19,90,32.2,55,12.8,31,5
20,82,27.8,59,15.0,45,5
21,82,27.8,59,15.0,45,3
22,81,27.2,59,15.0,48,5
23,79,26.1,61,16.1,54,5
